Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),hour,day,month,weekday,is_outlier
2025-05-17 19:00:00,Kosovo,Kosovo,XK,252.59,284.24,64.29,63.77,19,17,5,5,True
2025-05-17 20:00:00,Kosovo,Kosovo,XK,275.41,307.95,62.03,60.7,20,17,5,5,True
2025-05-17 21:00:00,Kosovo,Kosovo,XK,314.9,349.29,57.58,54.96,21,17,5,5,True
2025-05-18 17:00:00,Kosovo,Kosovo,XK,295.18,328.12,60.11,59.49,17,18,5,6,True
2025-05-18 18:00:00,Kosovo,Kosovo,XK,270.09,301.36,63.29,62.89,18,18,5,6,True
2025-05-18 19:00:00,Kosovo,Kosovo,XK,276.71,308.32,62.33,61.91,19,18,5,6,True
2025-05-18 20:00:00,Kosovo,Kosovo,XK,311.59,346.09,57.74,56.49,20,18,5,6,True
2025-05-19 17:00:00,Kosovo,Kosovo,XK,307.47,342.49,57.35,57.32,17,19,5,0,True
2025-05-19 18:00:00,Kosovo,Kosovo,XK,305.1,339.84,57.59,57.53,18,19,5,0,True
2025-05-21 17:00:00,Kosovo,Kosovo,XK,317.12,352.06,56.65,56.6,17,21,5,2,True
2025-05-21 18:00:00,Kosovo,Kosovo,XK,310.51,344.74,57.48,57.43,18,21,5,2,True
2025-06-21 17:00:00,Kosovo,Kosovo,XK,299.48,345.47,51.07,50.66,17,21,6,5,True
2025-06-21 18:00:00,Kosovo,Kosovo,XK,264.66,313.21,52.9,52.53,18,21,6,5,True
2025-06-21 19:00:00,Kosovo,Kosovo,XK,251.42,301.0,53.59,53.18,19,21,6,5,True
